GPS1,GPS2,Species,Group,Time,General Location,Comments 
206188,62607,Redtails,BATEKAINE,NA,R/12,Same location 
206188,62607,Redtails,BATEKAINE,NA,R/12,Same location 
206188,62607,Redtails,BATEKAINE,NA,R/12,Same location 
206188,62607,Redtails,BATEKAINE,NA,R/12,Same location 
206116,62560,Redtails,BATEKAINE,NA,S/9,
206116,62560,Redtails,BATEKAINE,NA,S/9,
206116,62560,Redtails,BATEKAINE,NA,S/9,
206116,62560,Redtails,BATEKAINE,NA,S/9,
206116,62560,Redtails,BATEKAINE,NA,S/9,
206116,62560,Redtails,BATEKAINE,NA,S/9,
206142,62615,Redtails,BATEKAINE,NA,R/12,Cloudy 
206142,62615,Redtails,BATEKAINE,NA,R/12,Cloudy 
206142,62615,Redtails,BATEKAINE,NA,R/12,Raining 
206142,62615,Redtails,BATEKAINE,NA,R/12,Raining 
206142,62615,Redtails,BATEKAINE,NA,R/12,Drizzling 
206142,62615,Redtails,BATEKAINE,NA,R/10,GPS- ran out of batteries 
206142,62615,Redtails,BATEKAINE,NA,R/10,Cloudy 
206142,62615,Redtails,BATEKAINE,NA,R/10,Partly cloudy
206142,62615,Redtails,BATEKAINE,NA,R/10,Partly cloudy 
206142,62615,Redtails,BATEKAINE,NA,R/9,Sunny
206142,62615,Redtails,BATEKAINE,NA,R/9,Sunny
206142,62615,Redtails,BATEKAINE,NA,R/9,Partly cloudy 
206142,62615,Redtails,BATEKAINE,NA,R/9,
205672,62522,Redtails,Camp,NA,Opp. chapmans house ,
205672,62522,Redtails,Camp,NA,Opp. chapmans house ,
205672,62522,Redtails,Camp,NA,Opp. chapmans house ,
205672,62522,Redtails,Camp,NA,Opp. chapmans house ,
205672,62522,Redtails,Camp,NA,Opp. chapmans house ,
205672,62522,Redtails,Camp,NA,Opp. chapmans house ,
205672,62522,Redtails,Camp,NA,Opp. chapmans house ,
205672,62522,Redtails,Camp,NA,Bhd. chapmans lab ,GPS not done because of rain 
205687,62607,Redtails,Camp,NA,Bhd. chapmans lab ,
205687,62607,Redtails,Camp,NA,Bhd. chapmans lab ,
205687,62607,Redtails,Camp,NA,Bhd. chapmans lab ,
205687,62615,Redtails,Camp,NA,Behind chapmans lab,Group found same location 
205687,62615,Redtails,Camp,NA,Behind chapmans lab,
205687,62615,Redtails,Camp,NA,Behind chapmans lab,
205687,62615,Redtails,Camp,NA,Behind chapmans lab,
205687,62615,Redtails,Camp,NA,Behind chapmans lab,
205687,62615,Redtails,Camp,NA,Behind chapmans lab,
205687,62615,Redtails,Camp,NA,Behind chapmans lab,
205687,62615,Redtails,Camp,NA,Behind chapmans lab,
205676,62659,Redtails,Camp,NA,mikana logged/ eco health ,
205676,62659,Redtails,Camp,NA,mikana logged/ eco health ,
205676,62659,Redtails,Camp,NA,mikana logged/ eco health ,
205676,62659,Redtails,Camp,NA,mikana logged/ eco health ,
205676,62659,Redtails,Camp,NA,mikana logged/ eco health ,
205660,62688,Redtails,Camp,NA,"Bhd, Eco-helathy (logged area) ",Logged area 
