Species,J #,Tag #,DBH,GPS 1 (N),GPS 2 (E),Error,Mon/Year
Chaetacme aristata,J8360,A5046,118.4,206394,61974,5,Jun-17
Teclea nobilis,J8361,,14.8,206394,61983,5,Jun-17
Markhamia platycalyx,J8362,A5047,62.9,206394,61984,5,Jun-17
Diospyros abyssinica,J8363,,14.4,206392,61986,5,Jun-17
Bosquiea phoberos,J8364,,14.2,206396,61981,4,Jun-17
Chaetacme aristata,J8365,,11,206403,61973,3,Jun-17
Markhamia platycalyx,J8366,A5049,44.1,206407,61980,4,Jun-17
Teclea nobilis,J8367,,14.2,206405,61984,4,Jun-17
Vangueria,J8368,,14.5,206406,61985,4,Jun-17
Bosquiea phoberos,J8369,,26.6,206404,61983,3,Jun-17
Diospyros abyssinica,J8370,,NA,206405,61989,3,Jun-17
Celtis africana,J8371,A5051,86,206407,61976,4,Jun-17
Celtis africana,J8372,,34,206422,61997,3,Jun-17
Strychnos mitis,J8373,A5071,29.5,206422,61997,3,Jun-17
Olea welwitschii,J8374,A5073,120.2,206425,61997,4,Jun-17
Pancovia turbinata,J8375,,12.5,206433,62003,4,Jun-17
Chaetacme aristata,J8376,A5075,NA,206434,62003,4,Jun-17
Strychnos mitis,J8377,A5077,18.5,206433,62008,3,Jun-17
Vangueria apiculata,J8378,A5081,10.7,206436,62014,4,Jun-17
Diospyros abyssinica,J8379,,20.5,206437,62015,4,Jun-17
Dombeya mukole,J8380,A5082,24.9,206439,62017,4,Jun-17
Strychnos mitis,J8381,A5083,15.9,206441,62017,4,Jun-17
Markhamia platycalyx,J8382,A5088,72.5,206442,62018,4,Jun-17
Lindakeria,J8383,,15.2,206438,62023,4,Jun-17
Dombeya mukole,J8384,,37.7,206431,62024,5,Jun-17
Strychnos mitis,J8385,,31,206435,62015,4,Jun-17
Celtis africana,J8386,,121.5,206429,62028,6,Jul-17
Strychnos mitis,J8387,,23.4,206426,62030,6,Jul-17
Dombeya mukole,J8388,,24.7,206417,62031,5,Jul-17
Teclea nobilis,J8389,,12.3,206416,62030,7,Jul-17
Diospyros abyssinica,J8390,,17,206415,62030,6,Jul-17
Teclea nobilis,J8391,,27.4,206419,62035,5,Jul-17
Diospyros abyssinica,J8392,,26.6,206420,62033,5,Jul-17
Coffea,J8393,,10.9,206421,62035,4,Jul-17
Diospyros abyssinica,J8394,,11.9,206423,62034,4,Jul-17
Teclea nobilis,J8395,,24.6,206427,62030,4,Jul-17
Teclea nobilis,J8396,,19,206435,62033,6,Jul-17
Strychnos mitis,J8397,,20.7,206434,62025,4,Jul-17
Mestroxylon,J8398,,95.2,206447,62022,5,Jul-17
Strychnos mitis,J8399,A5092,15.5,206448,62021,5,Jul-17
Teclea nobilis,J8400,,19.3,206444,62020,4,Jul-17
Markhamia platycalyx,J8401,A5091,17.3,206451,62028,5,Jul-17
Strychnos mitis,J8402,A5093,17.2,206452,62030,5,Jul-17
Chaetacme aristata,J8403,,16.4,206459,62024,4,Jul-17
Strychnos mitis,J8404,,44.3,206458,62036,6,Jul-17
Dombeya mukole,J8405,,37,206451,62035,6,Jul-17
Strychnos mitis,J8406,,10.9,206449,62034,5,Jul-17
Bosquiea phoberos,J8407,,14.3,206449,62037,4,Jul-17
Mimusops bagshaweii,J8408,,29.6,206450,62038,4,Jul-17
Strychnos mitis,J8409,,29.6,206442,62034,5,Jul-17
Strychnos mitis,J8410,,11,206437,62032,4,Jul-17
Chaetacme aristata,J8411,,NA,206437,62037,5,Jul-17
Lovoa swynnertonii,J8412,,11.3,206439,62038,5,Jul-17
Albizia grandibracteata,J8413,,17.2,206439,62039,4,Jul-17
Dombeya mukole,J8414,,37.5,206426,62034,5,Jul-17
Teclea nobilis,J8415,,10,206428,62038,4,Jul-17
Teclea nobilis,J8416,,24.7,206429,62038,4,Jul-17
Teclea nobilis,J8417,,20,206435,62041,4,Jul-17
Strychnos mitis,J8418,,20.5,206438,62043,4,Jul-17
Celtis africana,J8419,,79,206438,62043,4,Jul-17
Chaetacme aristata,J8420,,18.7,206437,62045,4,Jul-17
Celtis africana,J8421,,30,206436,62045,4,Jul-17
Diospyros abyssinica,J8422,,11.3,206439,62047,4,Jul-17
Diospyros abyssinica,J8423,,14.1,206440,62049,5,Jul-17
Strychnos mitis,J8424,,12,206440,62053,4,Jul-17
Fagaropsis angolensis,J8425,,21.9,206442,62054,3,Jul-17
Chaetacme aristata,J8426,,30,206442,62058,3,Jul-17
Dombeya mukole,J8427,,17.1,206443,62061,4,Jul-17
Teclea nobilis,J8428,,14.2,206445,62060,4,Jul-17
Strychnos mitis,J8429,,16.3,206447,62061,4,Jul-17
Strychnos mitis,J8430,,40.9,206445,62066,4,Jul-17
Mimusops bagshaweii,J8431,,10.7,206445,62056,4,Jul-17
Strychnos mitis,J8432,,16.7,206442,62051,4,Jul-17
Bosquiea phoberos,J8433,,11.1,206440,62044,4,Jul-17
Teclea nobilis,J8434,,35.5,206440,62045,4,Jul-17
Diospyros abyssinica,J8435,,29.9,206442,62047,4,Jul-17
Chaetacme aristata,J8436,,10.6,206453,62055,5,Jul-17
Strychnos mitis,J8437,,14.8,206457,62054,4,Jul-17
Markhamia platycalyx,J8438,,39.2,206457,62041,4,Jul-17
Scolopia rhaminiphyllum,J8439,,10.9,206458,62042,5,Jul-17
Chaetacme aristata,J8440,A5097,65.4,206458,62037,5,Jul-17
Chaetacme aristata,J8441,A5100,17.5,206461,62038,4,Jul-17
Markhamia platycalyx,J8442,,19.7,206463,62040,4,Jul-17
Strychnos mitis,J8443,,12,206464,62043,4,Jul-17
Strychnos mitis,J8444,,10.5,206462,62048,4,Jul-17
Chaetacme aristata,J8445,,41.4,206463,62049,4,Jul-17
Fagaropsis angolensis,J8446,,44.5,206463,62048,4,Jul-17
Celtis africana,J8447,,61.2,206463,62044,4,Jul-17
Celtis africana,J8448,A5105,16.7,206465,62042,4,Jul-17
Teclea nobilis,J8449,,32.3,206465,62037,4,Jul-17
Chaetacme aristata,J8450,A5107,25.8,206472,62040,5,Jul-17
Chaetacme aristata,J8451,A5109,40,206474,62039,4,Jul-17
Dombeya mukole,J8452,A5108,34.4,206471,62040,4,Jul-17
Strychnos mitis,J8453,A5112,16.8,206475,62041,3,Jul-17
Celtis africana,J8454,,25.7,206473,62045,4,Jul-17
Chaetacme aristata,J8455,A5117,80,206488,62054,7,Jul-17
Dombeya mukole,J8456,A5120,37.9,206485,62062,4,Jul-17
Vangueria apiculata,J8457,A5122,23.5,206486,62055,4,Jul-17
Diospyros abyssinica,J8458,A5123,35.8,206486,62057,4,Jul-17
Strychnos mitis,J8459,A5119,56.3,206483,62053,5,Jul-17
Chaetacme aristata,J8460,,25.3,206478,62056,4,Jul-17
Markhamia platycalyx,J8461,,19.8,206478,62059,3,Jul-17
Strychnos mitis,J8462,,21.4,206470,62059,3,Jul-17
Markhamia platycalyx,J8463,,17.5,206472,62062,3,Jul-17
Teclea nobilis,J8464,,11.6,206473,62063,3,Jul-17
Teclea nobilis,J8465,,12.7,206469,62063,3,Jul-17
Strychnos mitis,J8466,,34.5,206465,62064,3,Jul-17
Teclea nobilis,J8467,,18.7,206458,62067,4,Jul-17
Mestroxylon,J8468,,80.9,206463,62062,3,Jul-17
Celtis africana,J8469,,17.6,206462,62087,3,Jul-17
Chaetacme aristata,J8470,,29.7,206469,62057,3,Jul-17
Dombeya mukole,J8471,,38.3,206455,62059,3,Jul-17
Markhamia platycalyx,J8472,,11.1,206455,62060,4,Jul-17
Coffea,J8473,,11.2,206450,62062,4,Jul-17
Dombeya mukole,J8474,,24,206455,62065,3,Jul-17
Chaetacme aristata,J8475,,22.7,206453,62067,3,Jul-17
Strychnos mitis,J8476,,29.6,206450,62067,3,Jul-17
Chaetacme aristata,J8477,,20.9,206451,62066,3,Jul-17
Chaetacme aristata,J8478,,17.5,206452,62065,3,Jul-17
Markhamia platycalyx,J8479,,47.5,206450,62065,3,Jul-17
NA,J8480,,18.5,206457,62067,3,Jul-17
Chaetacme aristata,J8481,,12.4,206459,62071,3,Jul-17
Diospyros abyssinica,J8482,,40.7,206459,62072,3,Jul-17
Vangueria apiculata,J8483,,13.4,206460,62071,3,Jul-17
Chaetacme aristata,J8484,,12.7,206463,62072,3,Jul-17
Markhamia platycalyx,J8485,,23.2,206464,62070,3,Jul-17
Strychnos mitis,J8486,,17.6,206464,62071,3,Jul-17
Celtis africana,J8487,933,82.5,206471,62070,4,Jul-17
Strychnos mitis,J8488,,16.7,206472,62070,4,Jul-17
Strychnos mitis,J8489,,21.6,206469,62073,4,Jul-17
Diospyros abyssinica,J8490,5097,37.4,206469,62075,3,Jul-17
Diospyros abyssinica,J8491,,19.9,206466,62079,3,Jul-17
Celtis africana,J8492,,13.1,206471,62079,3,Jul-17
Teclea nobilis,J8493,,13.3,206474,62078,3,Jul-17
Diospyros abyssinica,J8494,,16,206475,62080,3,Jul-17
Strychnos mitis,J8495,,10.9,206476,62083,3,Jul-17
Diospyros abyssinica,J8496,,14.6,206478,62084,3,Jul-17
Strychnos mitis,J8497,,12,206481,62084,3,Jul-17
Celtis africana,J8498,,13.5,206482,62085,3,Jul-17
Teclea nobilis,J8499,,10.3,206482,62087,3,Jul-17
Diospyros abyssinica,J8500,5025,29.5,206477,62077,4,Jul-17
Diospyros abyssinica,J8501,,39,206479,62078,4,Jul-17
Dombeya mukole,J8502,,41.6,206484,62077,4,Jul-17
Strychnos mitis,J8503,,NA,206485,62078,5,Jul-17
Celtis africana,J8504,5094,39.6,206477,62075,5,Jul-17
Mestroxylon,J8505,,16.8,206478,62079,4,Jul-17
Markhamia platycalyx,J8506,,25.5,206475,62078,3,Jul-17
Strychnos mitis,J8507,,10.5,206471,62067,3,Jul-17
Diospyros abyssinica,J8508,,36.5,206472,62069,3,Jul-17
Teclea nobilis,J8509,,13.2,206472,62070,3,Jul-17
Diospyros abyssinica,J8510,,12.4,206477,62074,4,Jul-17
Strychnos mitis,J8511,,21.3,206474,62073,3,Jul-17
Celtis africana,J8512,,68.4,206475,62071,3,Jul-17
Diospyros abyssinica,J8513,,18,206476,62075,4,Jul-17
Diospyros abyssinica,J8514,,34.2,206477,62074,4,Jul-17
Mestroxylon,J8515,,25.2,206481,62074,4,Jul-17
Chaetacme aristata,J8516,,13.5,206482,62077,4,Jul-17
Strychnos mitis,J8517,,13.9,206485,62075,4,Jul-17
Scolopia,J8518,,44.8,206484,62074,4,Jul-17
Teclea nobilis,J8519,,11.3,206484,62068,4,Jul-17
Mimusops bagshaweii,J8520,,24.5,206483,62067,4,Jul-17
Chaetacme aristata,J8521,,61.5,206477,62061,3,Jul-17
Scolopia,J8522,,28.8,206491,62075,4,Jul-17
Strychnos mitis,J8523,,15.5,206490,62078,4,Jul-17
Diospyros abyssinica,J8524,,26.9,206490,62080,4,Jul-17
Strychnos mitis,J8525,,20,206497,62081,6,Jul-17
Scolopia,J8526,,16.6,206494,62079,6,Jul-17
Strychnos mitis,J8527,,15.2,206484,62073,5,Jul-17
Chaetacme aristata,J8528,,13.5,206486,62081,5,Jul-17
Dombeya mukole,J8529,A7047,59,206494,62080,5,Jul-17
Strychnos mitis,J8530,,10.5,206496,62079,5,Jul-17
Chaetacme aristata,J8531,,17.7,206500,62082,4,Jul-17
Strychnos mitis,J8532,,27.6,206501,62081,5,Jul-17
Strychnos mitis,J8533,,10.2,206502,62088,5,Jul-17
Markhamia platycalyx,J8534,,18.4,206491,62091,4,Jul-17
Strychnos mitis,J8535,,16.5,206488,62090,4,Jul-17
Markhamia platycalyx,J8536,,14.8,206487,62094,4,Jul-17
Teclea nobilis,J8537,,18.9,206489,62089,7,Jul-17
Teclea nobilis,J8538,,18,206485,62088,6,Jul-17
Chaetacme aristata,J8539,,32.4,206483,62098,4,Jul-17
Celtis africana,J8540,,12.7,206484,62100,5,Jul-17
Strychnos mitis,J8541,,12.6,206482,62101,6,Jul-17
Diospyros abyssinica,J8542,,52.7,206483,62098,4,Jul-17
Markhamia platycalyx,J8543,,49.5,206497,62090,5,Jul-17
Teclea nobilis,J8544,,12.5,206488,62091,5,Jul-17
Teclea nobilis,J8545,,20.6,206489,62093,5,Jul-17
Celtis africana,J8546,,18,206493,62093,5,Jul-17
Celtis africana,J8547,,46,206488,62097,4,Jul-17
Diospyros abyssinica,J8548,,16.9,206486,62096,5,Jul-17
Mestroxylon,J8549,,30.4,206486,62099,6,Jul-17
Chaetacme aristata,J8550,,24.8,206495,62101,5,Jul-17
Markhamia platycalyx,J8551,,76,206497,62098,5,Jul-17
Uvariopsis congensis,J8552,,16,206498,62099,5,Jul-17
Uvariopsis congensis,J8553,,16.8,206497,62097,5,Jul-17
Markhamia platycalyx,J8554,,39.5,206499,62094,5,Jul-17
Diospyros abyssinica,J8555,,17.1,206505,62092,6,Jul-17
Coffea,J8556,,12.5,206509,62088,5,Jul-17
Markhamia platycalyx,J8557,,25,206511,62092,6,Jul-17
Uvariopsis congensis,J8558,,16,206507,62096,6,Jul-17
Markhamia platycalyx,J8559,2231,39.5,206506,62098,4,Jul-17
Markhamia platycalyx,J8560,A5498/2281,92.6,206512,62103,4,Jul-17
Trema orientalis,J8561,,23,206515,62099,6,Jul-17
Cordia abyssinica,J8562,,20.8,206515,62104,6,Jul-17
Chaetacme aristata,J8563,,13,206521,62101,7,Jul-17
Strychnos mitis,J8564,,10.9,206509,62101,6,Jul-17
Chaetacme aristata,J8565,,13.5,206462,62097,5,Jul-17
Chaetacme aristata,J8566,,37.1,206501,62101,5,Jul-17
Diospyros abyssinica,J8567,,37.5,206500,62102,5,Jul-17
Celtis africana,J8568,,11,206495,62106,5,Jul-17
Chaetacme aristata,J8569,,11,206494,62112,4,Jul-17
Strychnos mitis,J8570,,20.3,206501,62106,5,Jul-17
Diospyros abyssinica,J8571,,19.5,206501,62114,7,Jul-17
Teclea nobilis,J8572,,11.2,206503,62115,6,Jul-17
Bosquiea phoberos,J8573,,10.6,206506,62120,6,Jul-17
Strychnos mitis,J8574,,11.2,206504,62107,5,Jul-17
Uvariopsis congensis,J8575,,16.6,206510,62119,6,Jul-17
Uvariopsis congensis,J8576,,27.5,206510,62117,6,Jul-17
Strychnos mitis,J8577,,13.5,206514,62117,6,Jul-17
Teclea nobilis,J8578,,14.5,206512,62121,5,Jul-17
Strychnos mitis,J8579,,25.5,206520,62120,6,Jul-17
Strychnos mitis,J8580,,11.2,206519,62121,6,Jul-17
Teclea nobilis,J8581,,11.5,206521,62119,6,Jul-17
Strychnos mitis,J8582,,17.9,206517,62117,6,Jul-17
Diospyros abyssinica,J8583,1397,29.6,206515,62116,6,Jul-17
Chaetacme aristata,J8584,,55.1,206517,62106,5,Jul-17
Teclea nobilis,J8585,,20,206524,62112,6,Jul-17
Teclea nobilis,J8586,,16.3,206522,62114,6,Jul-17
Diospyros abyssinica,J8587,,31.6,206527,62122,5,Jul-17
Markhamia platycalyx,J8588,1319,22.2,206528,62120,4,Jul-17
Markhamia platycalyx,J8589,,13.9,206527,62118,4,Jul-17
Markhamia platycalyx,J8590,,27.4,206524,62123,4,Jul-17
Strychnos mitis,J8591,,27,206533,62122,4,Jul-17
Strychnos mitis,J8592,,10.1,206537,62123,4,Jul-17
Teclea nobilis,J8593,,22.7,206536,62121,4,Jul-17
Aningeria altissima,J8594,,12.5,206545,62147,4,Jul-17
Markhamia platycalyx,J8595,,12.5,206551,62145,4,Jul-17
Celtis durandii,J8596,,12,206551,62151,5,Jul-17
Dombeya mukole,J8597,,25,206552,62154,5,Jul-17
Bosquiea phoberos,J8598,,19.8,206555,62159,5,Jul-17
Dombeya mukole,J8599,,27.1,206556,62158,4,Jul-17
Bosquiea phoberos,J8600,,13.1,206557,62158,4,Jul-17
Bosquiea phoberos,J8601,,16.1,206558,62165,4,Jul-17
Diospyros abyssinica,J8602,,57.2,206563,62153,6,Jul-17
Bosquiea phoberos,J8603,,10.2,206563,62153,6,Jul-17
Cordia abyssinica,J8604,,22.5,206562,62167,5,Jul-17
Ficus exasperata,J8605,,45.2,206571,62171,4,Jul-17
Markhamia platycalyx,J8606,,16,206572,62171,4,Jul-17
Bosquiea phoberos,J8607,,17.9,206575,62169,4,Jul-17
Ficus exasperata,J8608,,106,206583,62177,4,Jul-17
Bosquiea phoberos,J8609,,23,206581,62177,4,Jul-17
Markhamia platycalyx,J8610,,43.2,206582,62186,4,Jul-17
Teclea nobilis,J8611,,26.2,206587,62188,4,Jul-17
Diospyros abyssinica,J8612,,37.7,206584,62187,5,Jul-17
Bosquiea phoberos,J8613,,14,206585,62186,4,Jul-17
Bosquiea phoberos,J8614,,27.5,206590,62185,4,Jul-17
Bosquiea phoberos,J8615,,11.8,206585,62189,4,Jul-17
Balanites wilsonii,J8616,,24.4,206584,62191,4,Jul-17
NA,J8617,,18,206587,62195,8,Jul-17
Markhamia platycalyx,J8618,,21,206583,62202,6,Jul-17
Teclea nobilis,J8619,,10,206583,62202,6,Jul-17
Bosquiea phoberos,J8620,,22.5,206580,62207,6,Jul-17
Markhamia platycalyx,J8621,,28.2,206577,62209,6,Jul-17
Bosquiea phoberos,J8622,,14.7,206577,62202,5,Jul-17
Teclea nobilis,J8623,,15.7,206579,62201,5,Jul-17
Celtis durandii,J8624,,15.7,206580,62201,5,Jul-17
Bosquiea phoberos,J8625,,16.3,206582,62200,5,Jul-17
Bosquiea phoberos,J8626,,13,206562,62206,6,Jul-17
Markhamia platycalyx,J8627,,12.3,206582,62198,7,Jul-17
Bosquiea phoberos,J8628,,14.6,206592,62207,6,Jul-17
Celtis durandii,J8629,,41,206595,62207,6,Jul-17
Myrianthus arboreus,J8630,,12.1,206598,62202,6,Jul-17
Chaetacme aristata,J8631,,31.9,206606,62197,7,Jul-17
Bosquiea phoberos,J8632,,10.1,206601,62199,5,Jul-17
Bosquiea phoberos,J8633,,13,206600,62194,5,Jul-17
Dombeya mukole,J8634,,22.1,206597,62198,5,Jul-17
Funtumia,J8635,,21.2,206600,62199,4,Jul-17
Celtis durandii,J8636,,27,206604,62205,5,Jul-17
Antiaris toxicaria,J8637,,10.5,206594,62211,6,Jul-17
Lovoa swynnertonii,J8638,,11.4,206595,62213,5,Jul-17
Leptonychia mildbraedii,J8639,,13,206600,62213,5,Jul-17
Antiaris toxicaria,J8640,,15.3,206603,62209,5,Jul-17
Leptonychia mildbraedii,J8641,,13.3,206606,62208,5,Jul-17
Leptonychia mildbraedii,J8642,,12,206607,62211,6,Jul-17
Leptonychia mildbraedii,J8643,,20.8,206607,62213,5,Jul-17
Leptonychia mildbraedii,J8644,,37.5,206609,62213,5,Jul-17
Leptonychia mildbraedii,J8645,,27.1,206611,62214,5,Jul-17
Bosquiea phoberos,J8646,,19.5,206612,62214,5,Jul-17
Leptonychia mildbraedii,J8647,,22.6,206614,62216,4,Jul-17
Leptonychia mildbraedii,J8648,,12.6,206610,62218,5,Jul-17
Leptonychia mildbraedii,J8649,,10,206610,62219,6,Jul-17
Olea welwitschii,J8650,,13.2,206610,62221,6,Jul-17
Diospyros abyssinica,J8651,,65,206602,62222,5,Jul-17
Chaetacme aristata,J8652,,33.5,206603,62222,5,Jul-17
Leptonychia mildbraedii,J8653,,11.8,206598,62225,6,Jul-17
Scolopia rhaminiphyllum,J8654,,12,206597,62226,6,Jul-17
Aningeria altissima,J8655,,11.6,206598,62225,6,Jul-17
Bosquiea phoberos,J8656,,19.6,206600,62229,5,Jul-17
Olea welwitschii,J8657,,11.9,206601,62224,6,Jul-17
Markhamia platycalyx,J8658,,24.8,206600,62229,5,Jul-17
Celtis durandii,J8659,,43,206608,62229,5,Jul-17
Markhamia platycalyx,J8660,,43.3,206608,62231,5,Jul-17
Celtis africana,J8661,,24.2,206607,62225,6,Jul-17
Leptonychia mildbraedii,J8662,,11.2,206606,62225,4,Jul-17
Chaetacme aristata,J8663,,22.3,206610,62220,5,Jul-17
Bosquiea phoberos,J8664,,13.3,206615,62222,5,Jul-17
Leptonychia mildbraedii,J8665,,13.7,206616,62224,5,Jul-17
Celtis africana,J8666,,80,206606,62223,5,Aug-17
Scolopia rhaminiphyllum,J8667,,11,206662,62223,5,Aug-17
Bosquiea phoberos,J8668,,19,206662,62226,6,Aug-17
Bosquiea phoberos,J8669,,29.5,206617,62220,6,Aug-17
Markhamia platycalyx,J8670,,31.5,206615,62228,5,Aug-17
Bosquiea phoberos,J8671,,11.2,206621,62227,4,Aug-17
Fagaropsis angolensis,J8672,,26.5,206622,62227,5,Aug-17
Teclea nobilis,J8673,,10.1,206624,62228,5,Aug-17
Antiaris toxicaria,J8674,,10.1,206619,62230,4,Aug-17
Fagaropsis angolensis,J8675,,16.1,206621,62230,5,Aug-17
Bosquiea phoberos,J8676,,26.5,206630,62229,7,Aug-17
Chaetacme aristata,J8677,,45.4,206631,62230,6,Aug-17
Aningeria altissima,J8678,,12.3,206624,62227,5,Aug-17
Scolopia rhaminiphyllum,J8679,,18.5,206622,62229,6,Aug-17
Celtis africana,J8680,,65.7,206633,62227,6,Aug-17
Fagaropsis angolensis,J8681,,14.6,206633,62219,7,Aug-17
Celtis durandii,J8682,,23.6,206633,62217,4,Aug-17
Diospyros abyssinica,J8683,,18.8,206632,62218,7,Aug-17
Leptonychia mildbraedii,J8684,,13.6,206633,62237,7,Aug-17
Beilschmiedia ugandensis,J8685,,10,206638,62230,7,Aug-17
Bosquiea phoberos,J8686,,14.3,206643,62235,8,Aug-17
Chaetacme aristata,J8687,,18.4,206644,62225,5,Aug-17
Celtis durandii,J8688,,48,206631,62233,6,Aug-17
Funtumia elastica,J8689,,20,206638,62241,6,Aug-17
Funtumia elastica,J8690,,26.6,206641,62239,6,Aug-17
Funtumia elastica,J8691,,21.3,206641,62235,6,Aug-17
Leptonychia mildbraedii,J8692,,19.7,206639,62236,6,Aug-17
Leptonychia mildbraedii,J8693,,12,206641,62232,4,Aug-17
Funtumia,J8694,,16.6,206642,62230,5,Aug-17
Celtis durandii,J8695,,21,206651,62229,5,Aug-17
Uvariopsis congensis,J8696,,10.2,206643,62235,6,Aug-17
Chaetacme aristata,J8697,,22,206648,62233,5,Aug-17
Premna angolensis,J8698,1087,59.2,206661,62238,6,Aug-17
Chaetacme aristata,J8699,,10.9,206656,62237,4,Aug-17
Diospyros abyssinica,J8700,5234,50.5,206654,62233,4,Aug-17
Diospyros abyssinica,J8701,,28.7,206658,62244,5,Aug-17
Diospyros abyssinica,J8702,,17.7,206657,62242,5,Aug-17
Diospyros abyssinica,J8703,,12.8,206660,62240,5,Aug-17
Chaetacme aristata,J8704,,12.6,206658,62243,5,Aug-17
,J8705,,60.7,206660,62242,6,Aug-17
Bosquiea phoberos,J8706,,24.7,206666,62243,6,Aug-17
Uvariopsis congensis,J8707,,10.6,206663,62228,6,Aug-17
Bosquiea phoberos,J8708,,31,206661,62227,5,Aug-17
Bosquiea phoberos,J8709,,13,206658,62222,5,Aug-17
Chaetacme aristata,J8710,,12.2,206657,62227,6,Aug-17
Bosquiea phoberos,J8711,,15,206659,62226,6,Aug-17
Uvariopsis congensis,J8712,,13.1,206657,62225,6,Aug-17
Teclea nobilis,J8713,,11,206658,62220,6,Aug-17
Bosquiea phoberos,J8714,,26.5,206654,62218,6,Aug-17
Leptonychia mildbraedii,J8734,,19,206669,62203,5,Aug-17
Markhamia platycalyx,J8735,,15,206667,62200,5,Aug-17
Markhamia platycalyx,J8736,,19.3,206670,62200,5,Aug-17
Tabernaemontana,J8737,,11.6,206658,62206,6,Aug-17
Leptonychia mildbraedii,J8738,,12.7,206663,62210,7,Aug-17
Celtis durandii,J8739,,29.1,206671,62221,4,Aug-17
Bosquiea phoberos,J8740,,18.7,206670,62218,4,Aug-17
Teclea nobilis,J8741,,12.1,206671,62217,4,Aug-17
Chaetacme aristata,J8742,,11.1,206670,62216,5,Aug-17
Diospyros abyssinica,J8743,,41.2,206670,62220,5,Aug-17
Bosquiea phoberos,J8744,,28.3,206674,62224,4,Aug-17
Leptonychia mildbraedii,J8745,,10.9,206666,62220,6,Aug-17
Leptonychia mildbraedii,J8746,,12.2,206669,62223,5,Aug-17
Celtis durandii,J8747,,21,206668,62232,5,Aug-17
Celtis durandii,J8748,,13,206673,62232,5,Aug-17
Markhamia platycalyx,J8749,,16.3,206673,62239,4,Aug-17
Bosquiea phoberos,J8750,,22.4,206673,62240,4,Aug-17
Bosquiea phoberos,J8751,,21.5,206674,62242,4,Aug-17
Ficus exasperata,J8752,1086,80.6,206675,62242,4,Aug-17
Bosquiea phoberos,J8753,,26.8,206664,62244,6,Aug-17
Bosquiea phoberos,J8754,,22.7,206660,62251,3,Aug-17
Uvariopsis congensis,J8755,,22,206662,62258,3,Aug-17
Funtumia,J8756,,36.6,206663,62258,4,Aug-17
Strombosia scheffleri,J8757,,13.5,206664,62252,4,Aug-17
Teclea nobilis,J8758,,10.5,206674,62258,4,Aug-17
Celtis durandii,J8759,,19.4,206672,62259,4,Aug-17
Uvariopsis congensis,J8760,,11.2,206670,62262,4,Aug-17
Bosquiea phoberos,J8761,,14.6,206671,62262,3,Aug-17
Uvariopsis congensis,J8762,,16.4,206670,62266,3,Aug-17
Bosquiea phoberos,J8763,,26,206665,62262,5,Aug-17
Chaetacme aristata,J8764,,31.6,206665,62275,5,Aug-17
Uvariopsis congensis,J8765,,16.5,206663,62277,4,Aug-17
Bosquiea phoberos,J8766,,22.7,206668,62277,4,Aug-17
Olea welwitschii,J8767,,45.2,206664,62272,5,Aug-17
Strychnos mitis,J8768,,27.9,206660,62269,4,Aug-17
Uvariopsis congensis,J8769,,16.4,206666,62276,4,Aug-17
Teclea nobilis,J8770,,17.3,206663,62276,4,Aug-17
Uvariopsis congensis,J8771,,13.4,206657,62272,3,Aug-17
Diospyros abyssinica,J8772,,38.4,206656,62276,3,Aug-17
Uvariopsis congensis,J8773,,10.4,206653,62272,3,Aug-17
Bosquiea phoberos,J8774,,20.7,206650,62276,4,Aug-17
Celtis africana,J8775,,15,206653,62266,4,Aug-17
Bosquiea phoberos,J8776,,18.3,206651,62263,4,Aug-17
Pancovia turbinata,J8777,,12.1,206652,62261,4,Aug-17
Celtis durandii,J8778,,36.2,206660,62262,5,Aug-17
Diospyros abyssinica,J8779,,28.8,206662,62261,5,Aug-17
Bosquiea phoberos,J8780,,20.6,206667,62261,4,Aug-17
Blighia unijugata,J8781,,17.1,206666,62261,5,Aug-17
Bosquiea phoberos,J8782,,21.9,206663,62264,5,Aug-17
Uvariopsis congensis,J8783,,21.5,206665,62253,5,Aug-17
Uvariopsis congensis,J8784,,20.1,206659,62250,5,Aug-17
Bosquiea phoberos,J8785,,15.4,206657,62255,5,Aug-17
Leptonychia mildbraedii,J8786,,11.4,206657,62252,4,Aug-17
Strychnos mitis,J8787,,61.2,206655,62246,4,Aug-17
Uvariopsis congensis,J8788,,23.1,206643,62251,5,Aug-17
Diospyros abyssinica,J8789,,42,206644,62253,5,Aug-17
Leptonychia mildbraedii,J8790,,17.5,206657,62260,5,Aug-17
Bosquiea phoberos,J8791,,14.3,206649,62259,4,Aug-17
Bosquiea phoberos,J8792,,18.9,206643,62256,4,Aug-17
Diospyros abyssinica,J8793,,46.4,206644,62253,4,Aug-17
Celtis durandii,J8794,,29.3,206639,62250,4,Aug-17
Bosquiea phoberos,J8795,,17.5,206635,62255,3,Aug-17
Pancovia turbinata,J8796,,14.7,206636,62253,3,Aug-17
Uvariopsis congensis,J8797,,25.8,206637,62254,3,Aug-17
Bosquiea phoberos,J8798,,14.6,206635,62251,4,Aug-17
Leptonychia mildbraedii,J8799,,16.1,206636,62248,4,Aug-17
Celtis durandii,J8800,,18.5,206638,62252,4,Aug-17
Bosquiea phoberos,J8801,,18.4,206634,62254,4,Aug-17
Celtis africana,J8802,,25.4,206635,62256,4,Aug-17
Funtumia,J8803,,11.1,206637,62234,6,Aug-17
